Hanzi,Pinyin,Meaning,Sentence
考级,kǎojí,参加等级考试，如语言或技能的分级测试,我今年打算考级，争取通过英语六级考试。
手帐贴纸,shǒu zhàng tiēzhǐ,手工记录本上的装饰性纸片，用来美化和标记日记或计划,她在手帐上贴了很多可爱的手帐贴纸来装饰。
贼拉风,zéi lā fēng,非常风骚、特别酷、很有气势的意思,他那辆新车贼拉风，开出去回头率特别高。
黄历,huáng lì,旧时按照天体运行编制的历书，标注每天的吉凶和应该做的事,我们按照黄历选择了一个吉利的日子举行婚礼。
小心眼,xiǎoxīnyǎn,气量小，容易记恨别人，性格不宽容,他这个人很小心眼，别人不小心说错一句话，他就会生气好久。
勤工俭学,qín gōng jiǎn xué,学生利用课余时间从事劳动以获得报酬，同时坚持学习,他在大学期间参加勤工俭学，既挣了生活费，又没有耽误学业。
违和,wéihé,不协调、不搭调、感觉奇怪,这件衣服和整个搭配有点违和。
日进斗金,rì jìn dǒu jīn,每天赚进很多钱，形容收入多、赚钱快,这个公司生意兴隆，真是日进斗金啊。
格硬,gé yìng,性格固执，不肯改变；态度生硬,他的为人格硬，不容易接受别人的意见。
耍态度,shuǎ tàidù,摆架子、装腔作势、表现出不友好或傲慢的态度,他在会议上耍态度，拒绝和其他人合作。
磨叽,móji,啰嗦、话多、烦人,这个人特别磨叽，每天都要说个没完没了。
攀比心,pānbǐ xīn,心理状态，指与他人比较，想要超过别人的心态；攀比的心理,不要有太强的攀比心，要学会知足常乐。
作祟,zuòsuì,作怪、捣乱、从中作梗,这个故障是什么原因作祟，导致机器无法正常工作？
恭维话,gōngwéi huà,奉承的话，不真诚的赞美言辞,他总是说一些恭维话来讨好老板。
